x[ft]	Altitude[ft]	Velocity[ft/s]
0	128	486.8137184
383.4494767	83.529621	499.440147
1533.703297	70.28846648	512.1670934
3450.477652	118.3401945	525.059908
6133.299606	255.5016743	538.1264976
9581.507214	506.4175102	551.3157529
13794.24968	891.8386827	564.5364225
18770.48758	1428.125552	577.6883787
24508.99309	2126.968152	590.6938301
31008.35033	2995.295555	603.5167115
38266.95568	4035.334516	616.1637824
46283.01818	5244.776527	628.668567
55054.55999	6617.019706	641.0659939
64579.41687	8141.463876	653.368733
74855.2387	9803.848964	665.5546892
85879.49007	11586.63483	677.5697808
97649.45091	13469.42287	689.3434481
110162.2172	15429.41698	700.809182
123414.7015	17441.91655	711.9208207
137403.6341	19480.83007	722.6578857
152125.5633	21519.19869	733.0184859
167576.8567	23529.72425	743.0038915
183753.7021	25485.30536	752.6023194
200652.1079	27359.59417	761.7793984
218267.9047	29127.59088	770.4794178
236596.7462	30766.28949	778.6364549
255634.1099	32255.37598	786.1901392
275375.2987	33577.96073	793.0990321
295815.4417	34721.30486	799.3460547
316949.4956	35677.48182	804.9342743
338772.246	36443.90511	809.8758143
361278.3083	37023.6541	814.1796364
384462.1295	37425.54251	817.8441755
408317.9894	37663.89413	820.8582813
432840.0019	37758.01548	823.2099004
458022.1166	37731.37918	824.8983029
483858.1201	37610.55282	825.9440604
510341.6379	37423.92532	826.3921005
537466.1354	37200.29595	826.3063848
565224.9201	36967.40278	825.7585675
593611.143	36750.4764	824.8156183
622617.8002	36570.91213	823.5316845
652237.7347	36445.15533	821.9473482
682463.6383	36383.88903	820.0959555
713288.0531	36391.59621	818.0134819
744703.3738	36466.54327	815.7469259
776701.8489	36601.1957	813.3571068
809275.5835	36783.03918	810.9145161
842416.5404	36995.74227	808.4901928
876116.5425	37220.56753	806.1459083
910367.275	37437.91878	803.9282023
945160.2869	37628.90436	801.8689277
980486.9936	37776.79954	799.9918589
1016338.679	37868.30231	798.3220551
1052706.497	37894.49431	796.8933772
1089581.474	37851.44077	795.7504097
1126954.512	37740.38908	794.943612
1164816.39	37567.5553	794.5196007
1203157.766	37343.52021	794.5106243
1241969.179	37082.28921	794.9275549
1281241.055	36800.10158	795.7590065
1320963.702	36514.09756	796.9763335
1361127.32	36240.96501	798.5416111
1401721.999	35995.68696	800.4144813
1442737.724	35790.49691	802.5545035
1484164.373	35634.1237	804.9179859
1525991.726	35531.37459	807.4510739
1568209.462	35483.07021	810.082807
1610807.165	35486.31078	812.7220251
1653774.325	35535.02458	815.2603368
1697100.339	35620.72613	817.5806391
1740774.518	35733.39584	819.5681806
1784786.086	35862.38335	821.1200338
1829124.184	35997.23533	822.1495968
1873777.871	36128.3551	822.5850129
1918736.131	36247.41783	822.3631081
1963987.871	36347.49027	821.4223424
2009521.924	36422.83751	819.6984998
2055327.058	36468.43708	817.1253177
2101391.969	36479.25791	813.6397431
2147705.292	36449.39356	809.1891828
2194255.599	36371.16059	803.7370985
2241031.406	36234.28157	797.2640431
2288021.171	36025.26725	789.7633899
2335213.3	35727.09598	781.233549
2382596.149	35319.26219	771.6701877
2430158.027	34778.23443	761.0620782
2477887.199	34078.32768	749.392624
2525771.888	33192.95867	736.6466004
2573800.28	32096.21682	722.8193565
2621960.524	30764.65043	707.9247123
2670240.737	29179.1401	691.9984983
2718629.007	27326.71228	675.0967652
2767113.396	25202.13911	657.2901474
2815681.939	22809.17852	638.6575397
2864322.654	20161.33093	619.2823606
2913023.539	17282.02544	599.2532041
2961772.578	14204.19354	578.6683292
3010557.743	10969.23825	557.6413484
3059366.997	7625.454625	536.3046447
3108188.297	4226	514.807885
