# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   
Horizon              winglet_left           9.996145181204e-01  -2.431527745520e+00  -5.319344190625e+00  -7.841669640272e-01   1.624249388374e-01   0.000000000000e+00   1.308559623675e+00  -7.853678877214e-01  -7.853674639813e-01   1.951023393101e-04   9.010397988621e-01   0.000000000000e+00  -4.993681779546e+01  -9.081374722704e-01  -5.296045412803e+00   3.257417728201e+04   2.824348063355e-02   1.018257770286e+00   9.881007071562e-02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.193116237869e-07   1.889741731617e-05  -5.308333898243e-06   4.305558544829e-05  -1.307933808626e-05  -4.478300051100e-05
Horizon              winglet_left           9.965342284775e-01  -2.429830784835e+00  -5.318901271423e+00  -7.825282945201e-01   1.639602478486e-01   0.000000000000e+00   1.305065145923e+00  -7.851259623386e-01  -7.851296353990e-01   5.894851746835e-04   2.618410498425e+00   0.000000000000e+00  -4.993680123418e+01  -8.145636063222e-03  -5.524156171618e+00   3.293536509732e+04   2.828924708272e-02   1.021560465210e+00   2.871408419901e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.596082421076e-06   1.651800049932e-04  -5.083056000474e-05   3.996207578324e-04  -1.278887523429e-04  -3.715944512672e-04
Horizon              winglet_left           9.903926402016e-01  -2.426449775396e+00  -5.318001086556e+00  -7.792657275537e-01   1.670236952440e-01   0.000000000000e+00   1.298097735037e+00  -7.846436031234e-01  -7.846542491045e-01   9.962442218340e-04   4.149382724116e+00   0.000000000000e+00  -4.993881920134e+01   7.811519186746e-01  -5.717715000196e+00   3.365245655339e+04   2.837501876199e-02   1.027764503631e+00   4.550307332860e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.387856315797e-05   4.410285158339e-04  -1.483034703497e-04   1.132356423723e-03  -3.784586682126e-04  -9.431473183690e-04
Horizon              winglet_left           9.812276182268e-01  -2.421410395306e+00  -5.316615533649e+00  -7.744088949589e-01   1.716004703870e-01   0.000000000000e+00   1.287700347421e+00  -7.839237839807e-01  -7.839446741772e-01   1.423106998613e-03   5.444629268210e+00   0.000000000000e+00  -4.994621975099e+01   1.433992998018e+00  -5.876521331820e+00   3.471817244156e+04   2.849284758021e-02   1.036317922795e+00   5.970704109759e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.920671135073e-05   8.250686923097e-04  -3.018807536007e-04   2.243924438180e-03  -7.768273988229e-04  -1.683050587137e-03
Horizon              winglet_left           9.690956679612e-01  -2.414750800225e+00  -5.314703921985e+00  -7.680024406653e-01   1.776684743677e-01   0.000000000000e+00   1.273937086427e+00  -7.829709428350e-01  -7.830050961856e-01   1.877030815368e-03   6.489394454009e+00   0.000000000000e+00  -4.996127321277e+01   1.941693492056e+00  -6.004224996019e+00   3.612312671731e+04   2.863336796894e-02   1.046564907695e+00   7.116417340410e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.120528227336e-04   1.295424157971e-03  -5.134692713739e-04   3.723826065407e-03  -1.325957175284e-03  -2.532598945639e-03
Horizon              winglet_left           9.540715869125e-01  -2.406521197563e+00  -5.312214689463e+00  -7.601061929752e-01   1.851982068347e-01   0.000000000000e+00   1.256892807137e+00  -7.817909542688e-01  -7.818410628376e-01   2.363923766299e-03   7.294664399724e+00   0.000000000000e+00  -4.998300590539e+01   2.308318133721e+00  -6.106330884271e+00   3.785580728382e+04   2.878678788027e-02   1.057810113128e+00   7.999494651554e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.803237135335e-04   1.831593899758e-03  -7.836489565820e-04   5.555117364759e-03  -2.022932996860e-03  -3.449851265205e-03
Horizon              winglet_left           9.362480035364e-01  -2.396783291804e+00  -5.309087626279e+00  -7.507952940234e-01   1.941527446766e-01   0.000000000000e+00   1.236672593200e+00  -7.803910933039e-01  -7.804594557134e-01   2.888393916602e-03   7.888606141826e+00   0.000000000000e+00  -5.000824181520e+01   2.547522477162e+00  -6.187298159266e+00   3.990531150960e+04   2.894573913855e-02   1.069524129783e+00   8.650824655092e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.607501906671e-04   2.415639570646e-03  -1.112886805848e-03   7.722064392077e-03  -2.863118517996e-03  -4.405418951126e-03
Horizon              winglet_left           9.157348061513e-01  -2.385609611616e+00  -5.305256546484e+00  -7.401602102906e-01   2.044877260294e-01   0.000000000000e+00   1.213401108959e+00  -7.787799905487e-01  -7.788684550114e-01   3.453533510672e-03   8.307261420061e+00   0.000000000000e+00  -5.003422077146e+01   2.678570467696e+00  -6.249555916875e+00   4.226361210842e+04   2.910695934366e-02   1.081471248543e+00   9.109931541382e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.500201592558e-04   3.032619359213e-03  -1.502490959711e-03   1.021572418269e-02  -3.843427869535e-03  -5.377699150419e-03
Horizon              winglet_left           8.926584654404e-01  -2.373082731461e+00  -5.300652331537e+00  -7.283065407311e-01   2.161513461856e-01   0.000000000000e+00   1.187221830852e+00  -7.769675789875e-01  -7.770774973618e-01   4.060744145758e-03   8.586915423974e+00   0.000000000000e+00  -5.005967875473e+01   2.722208762380e+00  -6.294190335576e+00   4.492516752055e+04   2.927043882794e-02   1.093653548633e+00   9.416606473359e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.453623267367e-04   3.670018439687e-03  -1.954840574448e-03   1.303482868296e-02  -4.963358705538e-03  -6.348546527768e-03
Horizon              winglet_left           8.671612547178e-01  -2.359294402075e+00  -5.295206252655e+00  -7.153545387603e-01   2.290843727907e-01   0.000000000000e+00   1.158296162835e+00  -7.749650327402e-01  -7.750972267800e-01   4.709607824301e-03   8.759651523722e+00   0.000000000000e+00  -5.008452513494e+01   2.697834757987e+00  -6.321673587877e+00   4.788537002667e+04   2.943776650764e-02   1.106193270181e+00   9.606032803393e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.446494524188e-04   4.316580747794e-03  -2.472934958605e-03   1.618258628507e-02  -6.223999062352e-03  -7.300053608421e-03
