   Time[s]           u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             eo                e1                e2                e3
   0.000000000E+00   1.749948641E+02  -3.526890132E-21  -1.340719747E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00  -5.000000000E+02   9.999926630E-01   0.000000000E+00  -3.830655954E-03   0.000000000E+00
   5.000000000E-02   1.749948641E+02  -3.455065461E-21  -1.340719747E+00   1.319502571E-23   1.657933050E-18  -4.364786400E-24   8.750000000E+00  -1.750105931E-22  -5.000000000E+02   9.999926630E-01   1.789549541E-25  -3.830655954E-03  -5.380097953E-26
   1.000000000E-01   1.749948641E+02  -3.346418632E-21  -1.340719747E+00   2.104280691E-23   3.315866100E-18  -8.676004985E-24   1.750000000E+01  -3.473741668E-22  -5.000000000E+02   9.999926630E-01   6.168169656E-25  -3.830655954E-03  -2.153888227E-25
   1.500000000E-01   1.749948641E+02  -3.201722864E-21  -1.340719747E+00   2.528300189E-23   8.526512829E-18  -1.280095218E-23   2.625000000E+01  -5.171169677E-22  -5.000000000E+02   9.999926630E-01   1.203196469E-24  -3.830655954E-03  -4.820988937E-25
   2.000000000E-01   1.749948641E+02  -3.023074334E-21  -1.340719747E+00   2.706315822E-23   1.444770229E-17  -1.664259682E-23   3.500000000E+01  -6.842709686E-22  -5.000000000E+02   9.999926630E-01   1.863234784E-24  -3.830655954E-03  -8.482844445E-25
   2.500000000E-01   1.749948641E+02  -2.813496039E-21  -1.340719747E+00   2.714717919E-23   2.036889176E-17  -2.012980514E-23   4.375000000E+01  -8.488828362E-22  -5.000000000E+02   9.999926630E-01   2.545603056E-24  -3.830655954E-03  -1.306123200E-24
   3.000000000E-01   1.749948641E+02  -2.576654676E-21  -1.340719747E+00   2.605036237E-23   2.415845302E-17  -2.321097535E-23   5.250000000E+01  -1.011018874E-21  -5.000000000E+02   9.999926630E-01   3.214726539E-24  -3.830655954E-03  -1.846209244E-24
   3.500000000E-01   1.749948641E+02  -2.316651528E-21  -1.340719747E+00   2.412677787E-23   2.581638607E-17  -2.584984941E-23   6.125000000E+01  -1.170767257E-21  -5.000000000E+02   9.999926630E-01   3.845744630E-24  -3.830655954E-03  -2.458004593E-24
   4.000000000E-01   1.749948641E+02  -2.037862401E-21  -1.340719747E+00   2.162571779E-23   2.747431912E-17  -2.802270447E-23   7.000000000E+01  -1.328238429E-21  -5.000000000E+02   9.999926630E-01   4.421239872E-24  -3.830655954E-03  -3.130197907E-24
   4.500000000E-01   1.749948641E+02  -1.744810661E-21  -1.340719747E+00   1.872808204E-23   2.913225217E-17  -2.971640901E-23   7.875000000E+01  -1.483564250E-21  -5.000000000E+02   9.999926630E-01   4.929108641E-24  -3.830655954E-03  -3.851000275E-24
   5.000000000E-01   1.749948641E+02  -1.442063277E-21  -1.340719747E+00   1.556975653E-23   3.079018522E-17  -3.092701268E-23   8.750000000E+01  -1.636896284E-21  -5.000000000E+02   9.999926630E-01   5.361166675E-24  -3.830655954E-03  -4.608396839E-24
   5.500000000E-01   1.749948641E+02  -1.134143544E-21  -1.340719747E+00   1.225656718E-23   3.244811827E-17  -3.165865807E-23   9.625000000E+01  -1.788403512E-21  -5.000000000E+02   9.999926630E-01   5.712225828E-24  -3.830655954E-03  -5.390365730E-24
   6.000000000E-01   1.749948641E+02  -8.254565687E-22  -1.340719747E+00   8.873787173E-24   3.410605132E-17  -3.192268066E-23   1.050000000E+02  -1.938269662E-21  -5.000000000E+02   9.999926630E-01   5.979471404E-24  -3.830655954E-03  -6.185071226E-24
   6.500000000E-01   1.749948641E+02  -5.202251160E-22  -1.340719747E+00   5.492132009E-24   3.576398437E-17  -3.173681360E-23   1.137500000E+02  -2.086690298E-21  -5.000000000E+02   9.999926630E-01   6.162029894E-24  -3.830655954E-03  -6.981035125E-24
   7.000000000E-01   1.749948641E+02  -2.224343805E-22  -1.340719747E+00   2.171499590E-24   3.742191742E-17  -3.112444714E-23   1.225000000E+02  -2.233869778E-21  -5.000000000E+02   9.999926630E-01   6.260656180E-24  -3.830655954E-03  -7.767288551E-24
   7.500000000E-01   1.749948641E+02   6.421516685E-23  -1.340719747E+00  -1.036727639E-24   3.907985047E-17  -3.011391354E-23   1.312500000E+02  -2.380018175E-21  -5.000000000E+02   9.999926630E-01   6.277494806E-24  -3.830655954E-03  -8.533505319E-24
   8.000000000E-01   1.749948641E+02   3.363473682E-22  -1.340719747E+00  -4.088287627E-24   4.073778352E-17  -2.873778256E-23   1.400000000E+02  -2.525348213E-21  -5.000000000E+02   9.999926630E-01   6.215886486E-24  -3.830655954E-03  -9.270117407E-24
   8.500000000E-01   1.749948641E+02   5.909427225E-22  -1.340719747E+00  -6.945205989E-24   4.239571657E-17  -2.703216107E-23   1.487500000E+02  -2.670072288E-21  -5.000000000E+02   9.999926630E-01   6.080201811E-24  -3.830655954E-03  -9.968412768E-24
   9.000000000E-01   1.749948641E+02   8.253637105E-22  -1.340719747E+00  -9.575302101E-24   4.405364962E-17  -2.503599628E-23   1.575000000E+02  -2.814399618E-21  -5.000000000E+02   9.999926630E-01   5.875691083E-24  -3.830655954E-03  -1.062061561E-23
   9.500000000E-01   1.749948641E+02   1.037373300E-21  -1.340719747E+00  -1.195188951E-23   4.571158267E-17  -2.279038552E-23   1.662500000E+02  -2.958533560E-21  -5.000000000E+02   9.999926630E-01   5.608343766E-24  -3.830655954E-03  -1.121994932E-23
   1.000000000E+00   1.749948641E+02   1.225146839E-21  -1.340719747E+00  -1.405357781E-23   4.736951572E-17  -2.033789733E-23   1.750000000E+02  -3.102669123E-21  -5.000000000E+02   9.999926630E-01   5.284753924E-24  -3.830655954E-03  -1.176068216E-23
   1.050000000E+00   1.749948641E+02   1.387277586E-21  -1.340719747E+00  -1.586411693E-23   4.902744877E-17  -1.772190997E-23   1.837500000E+02  -3.246990717E-21  -5.000000000E+02   9.999926630E-01   4.911989929E-24  -3.830655954E-03  -1.223815631E-23
   1.100000000E+00   1.749948641E+02   1.522776151E-21  -1.340719747E+00  -1.737224697E-23   5.068538182E-17  -1.498597382E-23   1.925000000E+02  -3.391670141E-21  -5.000000000E+02   9.999926630E-01   4.497467862E-24  -3.830655954E-03  -1.264880052E-23
   1.150000000E+00   1.749948641E+02   1.631064196E-21  -1.340719747E+00  -1.857153140E-23   5.234331487E-17  -1.217320396E-23   2.012500000E+02  -3.536864846E-21  -5.000000000E+02   9.999926630E-01   4.048828786E-24  -3.830655954E-03  -1.299012722E-23
   1.200000000E+00   1.749948641E+02   1.711962770E-21  -1.340719747E+00  -1.946016113E-23   5.400124792E-17  -9.325709183E-24   2.100000000E+02  -3.682716471E-21  -5.000000000E+02   9.999926630E-01   3.573820474E-24  -3.830655954E-03  -1.326071489E-23
   1.250000000E+00   1.749948641E+02   1.765675715E-21  -1.340719747E+00  -2.004072340E-23   5.565918097E-17  -6.484062909E-24   2.187500000E+02  -3.829349669E-21  -5.000000000E+02   9.999926630E-01   3.080184412E-24  -3.830655954E-03  -1.346017664E-23
   1.300000000E+00   1.749948641E+02   1.792768620E-21  -1.340719747E+00  -2.031993380E-23   5.731711402E-17  -3.686820990E-24   2.275000000E+02  -3.976871209E-21  -5.000000000E+02   9.999926630E-01   2.575549000E-24  -3.830655954E-03  -1.358911607E-23
   1.350000000E+00   1.749948641E+02   1.794143814E-21  -1.340719747E+00  -2.030833250E-23   5.897504707E-17  -9.700905067E-25   2.362500000E+02  -4.125369383E-21  -5.000000000E+02   9.999926630E-01   2.067329854E-24  -3.830655954E-03  -1.364907174E-23
   1.400000000E+00   1.749948641E+02   1.771011953E-21  -1.340719747E+00  -2.001994795E-23   6.063298012E-17   1.632847109E-24   2.450000000E+02  -4.274913677E-21  -5.000000000E+02   9.999926630E-01   1.562638077E-24  -3.830655954E-03  -1.364245145E-23
