   Time[s]           u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             eo                e1                e2                e3
   0.000000000E+00   5.295932466E+01   0.000000000E+00   1.055035220E+01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00  -1.000000000E+03   9.951703961E-01   0.000000000E+00   9.816253244E-02   0.000000000E+00
   1.000000000E-01   5.295932776E+01   3.502557512E-09   1.055034602E+01   1.584663383E-08   5.165876980E-07   1.787146322E-09   5.400000094E+00  -1.408832937E-12  -1.000000000E+03   9.951703951E-01   3.088878720E-10   9.816254243E-02   4.101676289E-12
   2.000000000E-01   5.295932940E+01   2.266007245E-08   1.055034573E+01   3.093156380E-08   1.362228640E-06   2.237245862E-09   1.080000036E+01   2.767991398E-10  -1.000000001E+03   9.951703905E-01   1.537417260E-09   9.816258937E-02  -4.491032224E-12
   3.000000000E-01   5.295933005E+01   6.329618877E-08   1.055034834E+01   2.903852438E-08   1.930339902E-06  -9.903568234E-11   1.620000076E+01   1.503755908E-09  -1.000000003E+03   9.951703822E-01   3.108488627E-09   9.816267292E-02  -9.543418778E-11
   4.000000000E-01   5.295933017E+01   1.195148907E-07   1.055035090E+01   1.565197945E-08   2.088257045E-06  -3.395207697E-09   2.160000125E+01   4.599999866E-09  -1.000000006E+03   9.951703722E-01   4.244579323E-09   9.816277435E-02  -2.938986322E-10
   5.000000000E-01   5.295932994E+01   1.803286897E-07   1.055035212E+01   1.137997287E-09   1.988631237E-06  -5.791148267E-09   2.700000177E+01   1.023833311E-08  -1.000000009E+03   9.951703621E-01   4.631699398E-09   9.816287642E-02  -5.678605283E-10
   6.000000000E-01   5.295932933E+01   2.364922175E-07   1.055035207E+01  -8.418893955E-09   1.828964499E-06  -6.625823395E-09   3.240000226E+01   1.862165977E-08  -1.000000013E+03   9.951703528E-01   4.395419959E-09   9.816297136E-02  -8.627237190E-10
   7.000000000E-01   5.295932824E+01   2.830998441E-07   1.055035142E+01  -1.247039948E-08   1.721498395E-06  -6.226969228E-09   3.780000266E+01   2.955129990E-08  -1.000000019E+03   9.951703441E-01   3.823382176E-09   9.816305941E-02  -1.133433344E-09
   8.000000000E-01   5.295932658E+01   3.187296047E-07   1.055035072E+01  -1.336501483E-08   1.681597535E-06  -5.238905782E-09   4.320000291E+01   4.261151759E-08  -1.000000025E+03   9.951703358E-01   3.142780537E-09   9.816314386E-02  -1.356105876E-09
   9.000000000E-01   5.295932434E+01   3.434487710E-07   1.055035020E+01  -1.353849988E-08   1.674256444E-06  -4.135906001E-09   4.860000296E+01   5.732169443E-08  -1.000000032E+03   9.951703275E-01   2.449058811E-09   9.816322729E-02  -1.523487377E-09
   1.000000000E+00   5.295932155E+01   3.573539663E-07   1.055034981E+01  -1.418904988E-08   1.661251266E-06  -3.089932210E-09   5.400000275E+01   7.320416119E-08  -1.000000040E+03   9.951703193E-01   1.742635081E-09   9.816331033E-02  -1.635335420E-09
   1.100000000E+00   5.259185498E+01  -2.640216678E-01   1.117907039E+01  -1.433594006E+00   2.487162701E-02  -2.420206877E-01   5.939346829E+01  -2.881309669E-03  -9.999714752E+02   9.947099296E-01  -3.102035044E-02   9.790262550E-02  -2.229310046E-03
   1.200000000E+00   5.264553523E+01  -1.216707948E+00   1.111717060E+01  -8.448789872E-01   7.886217183E-02  -6.742591432E-02   6.476743271E+01  -3.969349190E-02  -9.999033949E+02   9.901696294E-01  -9.688079850E-02   1.007483849E-01  -5.289493385E-03
   1.300000000E+00   5.265338535E+01  -2.541517158E+00   1.097295471E+01  -3.649278571E-01   6.433715614E-02   4.336878340E-02   7.015016536E+01  -1.430686288E-01  -9.998715309E+02   9.865846664E-01  -1.253758229E-01   1.045121842E-01  -2.966879318E-03
   1.400000000E+00   5.259871955E+01  -3.968319414E+00   1.081160214E+01  -1.038788006E-01   3.781310286E-02   9.347471956E-02   7.553144657E+01  -3.306355125E-01  -9.998595102E+02   9.848739348E-01  -1.358739390E-01   1.075154670E-01   1.424609697E-03
   1.500000000E+00   5.249742830E+01  -5.361551348E+00   1.067549164E+01   5.133100508E-02   1.648498844E-02   1.128095101E-01   8.090860457E+01  -6.053812253E-01  -9.998552682E+02   9.845749308E-01  -1.362740809E-01   1.095400589E-01   6.523500067E-03
   1.600000000E+00   5.236323103E+01  -6.638931982E+00   1.059502162E+01   1.534001759E-01   6.600455527E-04   1.152988582E-01   8.628032773E+01  -9.637659844E-01  -9.998499465E+02   9.851823348E-01  -1.304332533E-01   1.107673028E-01   1.155587915E-02
   1.700000000E+00   5.221601210E+01  -7.744232909E+00   1.056392306E+01   2.267768353E-01  -1.438826949E-02   1.075330023E-01   9.164606001E+01  -1.399276430E+00  -9.998389831E+02   9.863463514E-01  -1.203403912E-01   1.112708475E-01   1.605813852E-02
   1.800000000E+00   5.207855730E+01  -8.636359525E+00   1.055645759E+01   2.823469825E-01  -3.174844136E-02   9.268072976E-02   9.700572875E+01  -1.903732757E+00  -9.998213079E+02   9.878383385E-01  -1.071315770E-01   1.109455167E-01   1.973156099E-02
   1.900000000E+00   5.197194002E+01  -9.285318754E+00   1.054812907E+01   3.244248612E-01  -5.120802114E-02   7.242539687E-02   1.023596832E+02  -2.467608894E+00  -9.997975162E+02   9.894917153E-01  -9.157899852E-02   1.096339121E-01   2.235705192E-02
   2.000000000E+00   5.191231956E+01  -9.670915437E+00   1.052593652E+01   3.543390026E-01  -7.028868939E-02   4.793942961E-02   1.077087275E+02  -3.080205329E+00  -9.997681808E+02   9.911638770E-01  -7.432459205E-02   1.072643028E-01   2.375696227E-02
   2.100000000E+00   5.190938491E+01  -9.782323621E+00   1.048872379E+01   3.723420007E-01  -8.590999726E-02   2.032450417E-02   1.130541462E+02  -3.729993910E+00  -9.997329054E+02   9.927240530E-01  -5.597867609E-02   1.039199518E-01   2.379045938E-02
   2.200000000E+00   5.196599624E+01  -9.617748193E+00   1.044282990E+01   3.785608500E-01  -9.561778285E-02  -9.259665652E-03   1.183976700E+02  -4.405115041E+00  -9.996901503E+02   9.940586998E-01  -3.714634678E-02   9.983627222E-02   2.236445939E-02
   2.300000000E+00   5.207858232E+01  -9.183928980E+00   1.039726991E+01   3.733708764E-01  -9.814814075E-02  -3.962582499E-02   1.237413754E+02  -5.093895620E+00  -9.996375722E+02   9.950830935E-01  -1.841982531E-02   9.535319965E-02   1.944516300E-02
   2.400000000E+00   5.223805022E+01  -8.495478611E+00   1.036031299E+01   3.574550511E-01  -9.349073475E-02  -6.964251965E-02   1.290875424E+02  -5.785282215E+00  -9.995725809E+02   9.957504696E-01  -3.601014040E-04   9.085151772E-02   1.506235096E-02
   2.500000000E+00   5.243109659E+01  -7.574113884E+00   1.033768010E+01   3.317304312E-01  -8.267904591E-02  -9.830827350E-02   1.344384999E+02  -6.469150568E+00  -9.994928902E+02   9.960546818E-01   1.651977283E-02   8.669247532E-02   9.304985538E-03
   2.600000000E+00   5.264182170E+01  -6.447831815E+00   1.033196755E+01   2.972525833E-01  -6.746735340E-02  -1.247910907E-01   1.397964817E+02  -7.136505679E+00  -9.993969412E+02   9.960262357E-01   3.176515454E-02   8.317075725E-02   2.310387403E-03
   2.700000000E+00   5.285350291E+01  -5.150051596E+00   1.034287120E+01   2.551516112E-01  -4.998217820E-02  -1.484313218E-01   1.451635044E+02  -7.779612124E+00  -9.992841462E+02   9.957236409E-01   4.498418838E-02   8.048476768E-02  -5.749421060E-03
   2.800000000E+00   5.305035434E+01  -3.718718154E+00   1.036789481E+01   2.066130029E-01  -3.239764455E-02  -1.687180846E-01   1.505412723E+02  -8.392096108E+00  -9.991549545E+02   9.952225251E-01   5.584845200E-02   7.872451469E-02  -1.468082712E-02
   2.900000000E+00   5.321910857E+01  -2.195351251E+00   1.040327925E+01   1.528920529E-01  -1.666817074E-02  -1.852536385E-01   1.559311102E+02  -8.969047917E+00  -9.990107712E+02   9.946045267E-01   6.409262374E-02   7.787495378E-02  -2.427885214E-02
   3.000000000E+00   5.335029102E+01  -6.240256569E-01   1.044490364E+01   9.534070849E-02  -4.338427264E-03  -1.977191105E-01   1.613339249E+02  -9.507134713E+00  -9.988537750E+02   9.939472686E-01   6.951519902E-02   7.783106735E-02  -3.433350062E-02
   3.100000000E+00   5.343909540E+01   9.497238028E-01   1.048895879E+01   3.542771095E-02   3.567069506E-03  -2.058509960E-01   1.667501951E+02  -1.000471648E+01  -9.986866855E+02   9.933161125E-01   7.198113624E-02   7.842038247E-02  -4.463250166E-02
   3.200000000E+00   5.348579819E+01   2.480071176E+00   1.053230168E+01  -2.525858277E-02   6.587902940E-03  -2.094331309E-01   1.721799910E+02  -1.046194706E+01  -9.985125181E+02   9.927580401E-01   7.142631749E-02   7.942907845E-02  -5.496159021E-02
   3.300000000E+00   5.349567131E+01   3.922137652E+00   1.057252393E+01  -8.502704833E-02   4.824109604E-03  -2.083049849E-01   1.776230180E+02  -1.088083884E+01  -9.983343498E+02   9.922978701E-01   6.786311916E-02   8.062888069E-02  -6.510389943E-02
   3.400000000E+00   5.347837572E+01   5.233291220E+00   1.060785070E+01  -1.421188733E-01  -1.101138606E-03  -2.023845200E-01   1.830786788E+02  -1.126527148E+01  -9.981551059E+02   9.919369861E-01   6.138611818E-02   8.180294107E-02  -7.484008884E-02
   3.500000000E+00   5.344685388E+01   6.374489579E+00   1.063700713E+01  -1.947599227E-01  -1.010819129E-02  -1.917017512E-01   1.885461476E+02  -1.162093006E+01  -9.979773708E+02   9.916547274E-01   5.217677917E-02   8.276942544E-02  -8.395062552E-02
   3.600000000E+00   5.341579147E+01   7.311626415E+00   1.065916009E+01  -2.412309361E-01  -2.075988557E-02  -1.764367294E-01   1.940244435E+02  -1.195516384E+01  -9.978032243E+02   9.914124885E-01   4.050573346E-02   8.340151454E-02  -9.222120419E-02
   3.700000000E+00   5.339978826E+01   8.016810039E+00   1.067398924E+01  -2.799551070E-01  -3.139737184E-02  -1.569530030E-01   1.995124981E+02  -1.227676357E+01  -9.976341131E+02   9.911603341E-01   2.673104138E-02   8.364221263E-02  -9.945161555E-02
   3.800000000E+00   5.341145311E+01   8.469473579E+00   1.068187362E+01  -3.095975834E-01  -4.031318641E-02  -1.338158627E-01   2.050092081E+02  -1.259566402E+01  -9.974707727E+02   9.908455290E-01   1.129085924E-02   8.351207740E-02  -1.054674689E-01
   3.900000000E+00   5.345969550E+01   8.657202761E+00   1.068410785E+01  -3.291636081E-01  -4.595320468E-02  -1.077855355E-01   2.105134679E+02  -1.292258782E+01  -9.973132212E+02   9.904218971E-01  -5.310532986E-03   8.310803541E-02  -1.101331853E-01
   4.000000000E+00   5.354849549E+01   8.576184491E+00   1.068300395E+01  -3.380752328E-01  -4.712713079E-02  -7.978020551E-02   2.160241805E+02  -1.326865674E+01  -9.971608425E+02   9.898585167E-01  -2.252324788E-02   8.259206913E-02  -1.133638844E-01
   4.100000000E+00   5.367637198E+01   8.231228940E+00   1.068172971E+01  -3.362058903E-01  -4.319472553E-02  -5.081190694E-02   2.215402468E+02  -1.364500280E+01  -9.970125658E+02   9.891461736E-01  -3.977721211E-02   8.216988398E-02  -1.151335349E-01
   4.200000000E+00   5.383663961E+01   7.635385358E+00   1.068381317E+01  -3.238610478E-01  -3.418746865E-02  -2.190728826E-02   2.270605365E+02  -1.406241047E+01  -9.968671267E+02   9.883003477E-01  -5.650942782E-02   8.206158427E-02  -1.154772863E-01
