   Time[s]           u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             eo                e1                e2                e3
   0.000000000E+00   5.295932466E+01   0.000000000E+00   1.055035220E+01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00  -1.000000000E+03   9.951703961E-01   0.000000000E+00   9.816253244E-02   0.000000000E+00
   1.000000000E-01   5.295932776E+01   3.502557512E-09   1.055034602E+01   1.584663383E-08   5.165876980E-07   1.787146322E-09   5.400000094E+00  -1.408832937E-12  -1.000000000E+03   9.951703951E-01   3.088878720E-10   9.816254243E-02   4.101676289E-12
   2.000000000E-01   5.295932940E+01   2.266007245E-08   1.055034573E+01   3.093156380E-08   1.362228640E-06   2.237245862E-09   1.080000036E+01   2.767991398E-10  -1.000000001E+03   9.951703905E-01   1.537417260E-09   9.816258937E-02  -4.491032224E-12
   3.000000000E-01   5.295933005E+01   6.329618877E-08   1.055034834E+01   2.903852438E-08   1.930339902E-06  -9.903568234E-11   1.620000076E+01   1.503755908E-09  -1.000000003E+03   9.951703822E-01   3.108488627E-09   9.816267292E-02  -9.543418778E-11
   4.000000000E-01   5.295933017E+01   1.195148907E-07   1.055035090E+01   1.565197945E-08   2.088257045E-06  -3.395207697E-09   2.160000125E+01   4.599999866E-09  -1.000000006E+03   9.951703722E-01   4.244579323E-09   9.816277435E-02  -2.938986322E-10
   5.000000000E-01   5.295932994E+01   1.803286897E-07   1.055035212E+01   1.137997287E-09   1.988631237E-06  -5.791148267E-09   2.700000177E+01   1.023833311E-08  -1.000000009E+03   9.951703621E-01   4.631699398E-09   9.816287642E-02  -5.678605283E-10
   6.000000000E-01   5.295932933E+01   2.364922175E-07   1.055035207E+01  -8.418893955E-09   1.828964499E-06  -6.625823395E-09   3.240000226E+01   1.862165977E-08  -1.000000013E+03   9.951703528E-01   4.395419959E-09   9.816297136E-02  -8.627237190E-10
   7.000000000E-01   5.295932824E+01   2.830998441E-07   1.055035142E+01  -1.247039948E-08   1.721498395E-06  -6.226969228E-09   3.780000266E+01   2.955129990E-08  -1.000000019E+03   9.951703441E-01   3.823382176E-09   9.816305941E-02  -1.133433344E-09
   8.000000000E-01   5.295932658E+01   3.187296047E-07   1.055035072E+01  -1.336501483E-08   1.681597535E-06  -5.238905782E-09   4.320000291E+01   4.261151759E-08  -1.000000025E+03   9.951703358E-01   3.142780537E-09   9.816314386E-02  -1.356105876E-09
   9.000000000E-01   5.295932434E+01   3.434487710E-07   1.055035020E+01  -1.353849988E-08   1.674256444E-06  -4.135906001E-09   4.860000296E+01   5.732169443E-08  -1.000000032E+03   9.951703275E-01   2.449058811E-09   9.816322729E-02  -1.523487377E-09
   1.000000000E+00   5.295932155E+01   3.573539663E-07   1.055034981E+01  -1.418904988E-08   1.661251266E-06  -3.089932210E-09   5.400000275E+01   7.320416119E-08  -1.000000040E+03   9.951703193E-01   1.742635081E-09   9.816331033E-02  -1.635335420E-09
   1.100000000E+00   5.355736470E+01  -1.667292005E-03   4.555181562E+00  -4.104691424E-02  -1.392057411E+00  -5.984983354E-03   5.939687877E+01  -2.749402478E-04  -1.000137725E+03   9.977548013E-01  -1.004058477E-03   6.696527706E-02  -3.704006548E-06
   1.200000000E+00   5.363780031E+01   2.306074088E-02   2.565300262E+00   5.659177105E-03  -6.130491498E-01  -5.519180183E-03   6.476514034E+01   3.691665739E-05  -1.000225100E+03   9.999523489E-01  -2.090733203E-03   9.534084615E-03  -1.734144690E-04
   1.300000000E+00   5.368853717E+01   3.446821038E-02   5.856635688E+00   2.495086343E-02   2.110752153E-01  -1.609036980E-03   7.013399108E+01   1.476683675E-03  -9.998473318E+02   9.999982562E-01  -1.189348246E-03   1.402536627E-03  -3.256273692E-04
   1.400000000E+00   5.359684172E+01   5.565276995E-02   9.676455539E+00   1.820307625E-02   4.879505475E-01  -2.567991354E-03   7.551411986E+01   2.634459584E-03  -9.991718342E+02   9.997832726E-01  -3.756547018E-05   2.081391711E-02  -4.328044047E-04
   1.500000000E+00   5.359378226E+01   9.048166590E-02   1.186147853E+01   3.304002667E-03   3.711465209E-01  -5.719544425E-03   8.093172823E+01   3.611307946E-03  -9.984298625E+02   9.990636280E-01   5.102611088E-04   4.325718433E-02  -6.502556182E-04
   1.600000000E+00   5.386016870E+01   1.240253725E-01   1.222940018E+01  -7.685543908E-03   1.376999341E-01  -7.096744051E-03   8.639776124E+01   4.753336521E-03  -9.977619641E+02   9.984315635E-01   3.692722288E-04   5.597628736E-02  -9.653451398E-04
   1.700000000E+00   5.428150508E+01   1.481713814E-01   1.162959247E+01  -1.123639377E-02  -2.278803952E-02  -6.526139647E-03   9.190635615E+01   5.900359217E-03  -9.971972663E+02   9.982912709E-01  -1.455221919E-04   5.841983182E-02  -1.280803706E-03
   1.800000000E+00   5.469159119E+01   1.634283427E-01   1.094237182E+01  -9.787013825E-03  -6.444698965E-02  -5.291778434E-03   9.744867423E+01   6.630872698E-03  -9.967009880E+02   9.984377845E-01  -7.023732363E-04   5.584901026E-02  -1.544433268E-03
   1.900000000E+00   5.502456544E+01   1.720623739E-01   1.060386898E+01  -7.123965101E-03  -2.950547735E-02  -4.173408394E-03   1.030194258E+02   6.585621571E-03  -9.962298186E+02   9.985747322E-01  -1.140815553E-03   5.333033794E-02  -1.754356612E-03
   2.000000000E+00   5.528855812E+01   1.755707961E-01   1.062265799E+01  -5.522391815E-03   2.322951602E-02  -3.395345613E-03   1.086167313E+02   5.501427071E-03  -9.957611410E+02   9.985815461E-01  -1.461316120E-03   5.318884349E-02  -1.925446939E-03
   2.100000000E+00   5.551323577E+01   1.745835761E-01   1.081195855E+01  -5.339024859E-03   5.832927511E-02  -2.896247060E-03   1.142403751E+02   3.146201486E-03  -9.952950588E+02   9.984652599E-01  -1.732407130E-03   5.531578073E-02  -2.070751302E-03
   2.200000000E+00   5.572290144E+01   1.690585842E-01   1.099717709E+01  -5.875959658E-03   6.938968907E-02  -2.499153581E-03   1.198902108E+02  -7.176595632E-04  -9.948432297E+02   9.982782688E-01  -2.011982108E-03   5.858011127E-02  -2.195573230E-03
   2.300000000E+00   5.592713245E+01   1.587163499E-01   1.110240618E+01  -6.335850008E-03   6.631813863E-02  -2.062441867E-03   1.255652802E+02  -6.336197755E-03  -9.944176871E+02   9.980710226E-01  -2.317273768E-03   6.199661746E-02  -2.298576660E-03
   2.400000000E+00   5.612292941E+01   1.434989837E-01   1.113604911E+01  -6.309718042E-03   6.088980559E-02  -1.550629331E-03   1.312637733E+02  -1.395055360E-02  -9.940255968E+02   9.978681997E-01  -2.633173893E-03   6.516497887E-02  -2.376556515E-03
   2.500000000E+00   5.630261383E+01   1.237391762E-01   1.113879778E+01  -5.787631385E-03   5.929097748E-02  -1.004797082E-03   1.369834213E+02  -2.378196004E-02  -9.936694716E+02   9.976680747E-01  -2.933641064E-03   6.814623690E-02  -2.428359291E-03
   2.600000000E+00   5.646021249E+01   1.000787730E-01   1.114310267E+01  -4.946886328E-03   6.188405325E-02  -4.831974772E-04   1.427218436E+02  -3.602363103E-02  -9.933496790E+02   9.974569706E-01  -3.197451391E-03   7.115712978E-02  -2.455793437E-03
   2.700000000E+00   5.659335986E+01   7.332485461E-02   1.115994486E+01  -3.958855134E-03   6.630399306E-02  -2.627040176E-05   1.484766709E+02  -5.083851985E-02  -9.930665756E+02   9.972231904E-01  -3.412918361E-03   7.435184053E-02  -2.462579898E-03
   2.800000000E+00   5.670216841E+01   4.434906160E-02   1.118491203E+01  -2.911896591E-03   7.030817311E-02   3.485555069E-04   1.542455143E+02  -6.835756126E-02  -9.928212979E+02   9.969625340E-01  -3.575338093E-03   7.776184788E-02  -2.453103102E-03
   2.900000000E+00   5.678745458E+01   1.404359815E-02   1.120935893E+01  -1.827036251E-03   7.294302757E-02   6.375169704E-04   1.600259018E+02  -8.867578735E-02  -9.926155251E+02   9.966768411E-01  -3.682852187E-03   8.133755250E-02  -2.431788944E-03
   3.000000000E+00   5.684966477E+01  -1.669062559E-02   1.122758252E+01  -7.037618031E-04   7.433275390E-02   8.404022090E-04   1.658152515E+02  -1.118475606E-01  -9.924509224E+02   9.963701308E-01  -3.734036571E-03   8.501085128E-02  -2.403039396E-03
   3.100000000E+00   5.688869241E+01  -4.695111173E-02   1.123827541E+01   4.478539544E-04   7.498980987E-02   9.557800551E-04   1.716108894E+02  -1.378831964E-01  -9.923287532E+02   9.960457378E-01  -3.727623150E-03   8.873201097E-02  -2.371346013E-03
   3.200000000E+00   5.690418290E+01  -7.585070576E-02   1.124270619E+01   1.599506553E-03   7.530484808E-02   9.812074755E-04   1.774100867E+02  -1.667480957E-01  -9.922497742E+02   9.957055100E-01  -3.663291916E-03   9.247505600E-02  -2.341313616E-03
   3.300000000E+00   5.689587840E+01  -1.025447552E-01   1.124251922E+01   2.712162840E-03   7.539917399E-02   9.154105411E-04   1.832100951E+02  -1.983641741E-01  -9.922143101E+02   9.953504325E-01  -3.542451223E-03   9.622679734E-02  -2.317539803E-03
   3.400000000E+00   5.686378487E+01  -1.262619514E-01   1.123860797E+01   3.746223207E-03   7.521425285E-02   7.600308010E-04   1.890081728E+02  -2.326128715E-01  -9.922223595E+02   9.949815663E-01  -3.368530033E-03   9.997512357E-02  -2.304420946E-03
   3.500000000E+00   5.680816815E+01  -1.463324891E-01   1.123107594E+01   4.667632104E-03   7.465121491E-02   5.201602234E-04   1.948016025E+02  -2.693392330E-01  -9.922736574E+02   9.946005956E-01  -3.146829730E-03   1.037035930E-01  -2.305963989E-03
   3.600000000E+00   5.672947853E+01  -1.622103095E-01   1.121967788E+01   5.449408820E-03   7.365292556E-02   2.039819987E-04   2.005877100E+02  -3.083568892E-01  -9.923676850E+02   9.942098793E-01  -2.884175075E-03   1.073917538E-01  -2.325639817E-03
   3.700000000E+00   5.662828581E+01  -1.734889104E-01   1.120421393E+01   6.070882401E-03   7.221574334E-02  -1.779063273E-04   2.063638823E+02  -3.494539099E-01  -9.925036568E+02   9.938122379E-01  -2.588551172E-03   1.110177278E-01  -2.366277909E-03
   3.800000000E+00   5.650525308E+01  -1.799113923E-01   1.118468192E+01   6.516752927E-03   7.036521355E-02  -6.131194017E-04   2.121275880E+02  -3.923994306E-01  -9.926805092E+02   9.934107299E-01  -2.268791597E-03   1.145603311E-01  -2.429991002E-03
   3.900000000E+00   5.636113909E+01  -1.813754067E-01   1.116124283E+01   6.776832390E-03   6.813032424E-02  -1.087968188E-03   2.178763973E+02  -4.369508325E-01  -9.928969032E+02   9.930085362E-01  -1.934302426E-03   1.179998501E-01  -2.518123045E-03
   4.000000000E+00   5.619680878E+01  -1.779332781E-01   1.113412715E+01   6.846323722E-03   6.553154742E-02  -1.587861443E-03   2.236079997E+02  -4.828611804E-01  -9.931512379E+02   9.926089414E-01  -1.594788582E-03   1.213178589E-01  -2.631220205E-03
   4.100000000E+00   5.601323862E+01  -1.697873219E-01   1.110356839E+01   6.726173669E-03   6.258124938E-02  -2.097704579E-03   2.293202207E+02  -5.298866212E-01  -9.934416698E+02   9.922153493E-01  -1.259965981E-03   1.244967694E-01  -2.769027268E-03
   4.200000000E+00   5.581151433E+01  -1.572804375E-01   1.106978405E+01   6.423165280E-03   5.928897656E-02  -2.602332724E-03   2.350110358E+02  -5.777934782E-01  -9.937661327E+02   9.918312830E-01  -9.392645597E-04   1.275195516E-01  -2.930510778E-03
