# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              wing_left              9.961939766256e-01  -2.410828655437e+00  -5.313535098051e+00  -7.642362044327e-01   2.795076886502e-01   1.988357679108e-01   0.000000000000e+00   1.265818973456e+00  -7.824089196293e-01  -7.793386060163e-01   2.255717271344e-02   1.010014323662e-01   0.000000000000e+00  -4.992856260070e+01   1.982026228138e+00  -4.799046832780e+00   4.159066364848e+04   2.945769846756e-02   1.107691757801e+00   6.346107158476e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.192359454748e-03   1.444027723935e-02  -6.441234379664e-03   4.526150761947e-02  -1.643995668290e-02  -2.847739034879e-02   2.070607878577e+00
Horizon              wing_left              9.691341716183e-01  -2.265704317578e+00  -5.247796961310e+00  -6.310400173657e-01   4.513826886502e-01   3.207292327118e-01   0.000000000000e+00   9.588352234447e-01  -7.611561984747e-01  -7.805191028629e-01   8.794506826429e-02   1.334813238893e-01   0.000000000000e+00  -4.992598340885e+01   1.811984487370e+00  -5.398488909859e+00   6.821752108922e+04   2.995400248428e-02   1.145331017752e+00   8.386878930443e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   8.303020477603e-03   6.302889412297e-02  -5.563206467884e-02   3.317195344149e-01  -1.312853473250e-01  -9.923227191453e-02   4.514702877873e+00
Horizon              wing_left              9.308658283817e-01  -2.070734514344e+00  -5.093532412701e+00  -4.896826024296e-01   6.944506446831e-01   5.081282469163e-01   0.000000000000e+00   5.246946407505e-01  -7.311003119805e-01  -7.499863946985e-01   1.353031715405e-01   1.216789978650e-01   0.000000000000e+00  -4.989426005186e+01   4.842340796477e-01  -4.828748629508e+00   1.145742323448e+05   3.175492497496e-02   1.287192443193e+00   7.645316915780e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.207655123124e-02   5.871336362414e-02  -1.188961406181e-01   6.343522586803e-01  -2.521160190356e-01  -6.006748337981e-02   6.942925309842e+00
Horizon              wing_left              9.038060233744e-01  -1.939812221924e+00  -4.955113621205e+00  -4.358034317614e-01   8.663256446831e-01   6.556674018563e-01   0.000000000000e+00   2.177108907391e-01  -7.098475908258e-01  -7.123360140889e-01   6.991527598961e-02   1.088290005279e-01   0.000000000000e+00  -4.988088437502e+01   9.836097923444e-02  -4.176091718723e+00   1.556894142923e+05   3.344051564937e-02   1.427470791658e+00   6.837927771119e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.620599941650e-03   1.258071465888e-02  -6.683834149115e-02   3.366742949639e-01  -1.321033084608e-01   3.446487274381e-03   8.377882621668e+00
Horizon              wing_left              8.815280085000e-01  -1.836170079467e+00  -4.834263526454e+00  -4.142197128456e-01   9.222747738938e-01   7.095603002071e-01   0.000000000000e+00   1.709507355208e-01  -6.923504788593e-01  -6.929593657027e-01   1.877654275321e-01   1.035221286539e-01   0.000000000000e+00  -4.986269023390e+01   2.314672205474e-02  -4.011906525408e+00   1.718186606756e+05   3.410189348274e-02   1.484493452872e+00   6.504487177263e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.447044118578e-02   1.885024381104e-02  -1.797396824860e-01   8.767171338770e-01  -3.360265690664e-01   3.534167235965e-02   8.768977945102e+00
Horizon              wing_left              8.589753653276e-01  -1.734943177819e+00  -4.711747056863e+00  -3.933447882776e-01   9.302663527549e-01   7.265027042829e-01   0.000000000000e+00   1.665772035387e-01  -6.746376743319e-01  -6.745916940043e-01   8.049266239606e-02   1.016967476854e-01   0.000000000000e+00  -4.985106435215e+01   1.466814639565e-02  -3.984407030649e+00   1.789491935383e+05   3.468885645606e-02   1.536035545790e+00   6.389795108451e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.263834924838e-03   8.063865866015e-03  -7.834052935938e-02   3.722926382539e-01  -1.383802137811e-01   1.552325670069e-02   8.988518208136e+00
Horizon              wing_left              8.299630268064e-01  -1.610017469193e+00  -4.554006296949e+00  -3.672790830355e-01   9.384040339330e-01   7.460350707183e-01   0.000000000000e+00   1.609509720843e-01  -6.518514369415e-01  -6.517819597753e-01   1.960263849066e-01   1.022954357158e-01   0.000000000000e+00  -4.985830115379e+01   2.585030930510e-02  -4.077954933735e+00   1.872464163567e+05   3.534693356868e-02   1.594868156144e+00   6.427411786812e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.631181292459e-02   1.971693423864e-02  -1.993081349640e-01   9.148921191866e-01  -3.268805667380e-01   4.253949021008e-02   9.461200588687e+00
Horizon              wing_left              7.889333841936e-01  -1.443143143139e+00  -4.330682265944e+00  -3.319325276727e-01   9.499124530214e-01   7.733562942414e-01   0.000000000000e+00   1.529942792564e-01  -6.196268309886e-01  -6.195595693525e-01   1.984304174004e-01   1.006884741294e-01   0.000000000000e+00  -4.986438787238e+01   2.752784316320e-02  -4.109665833663e+00   1.989750850498e+05   3.623402231128e-02   1.675924285465e+00   6.326443412519e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.721518156500e-02   1.979354859124e-02  -2.087468061569e-01   9.105862141115e-01  -3.069658006886e-01   4.598855758070e-02   9.896528533873e+00
Horizon              wing_left              7.599210456724e-01  -1.331812618575e+00  -4.172602019448e+00  -3.080117418165e-01   9.580501341996e-01   7.924270418578e-01   0.000000000000e+00   1.473680478020e-01  -5.968405935982e-01  -5.968238877180e-01   8.289669488986e-02   9.922784567180e-02   0.000000000000e+00  -4.986746611409e+01   2.827638205377e-02  -4.114444267891e+00   2.072667464838e+05   3.683560570895e-02   1.732036064476e+00   6.234669419882e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.334645237301e-03   8.182855993831e-03  -8.884037976168e-02   3.732159637298e-01  -1.205778956607e-01   1.970652466054e-02   1.015972556231e+01
Horizon              wing_left              7.537469718717e-01  -1.308813439355e+00  -4.138943976481e+00  -3.030359919111e-01   9.616887992337e-01   7.980443237528e-01   0.000000000000e+00   1.461707376233e-01  -5.919914873744e-01  -5.919819809716e-01   4.382119299349e-02   9.853289777803e-02   0.000000000000e+00  -4.986825003317e+01   2.586476899196e-02  -4.099189631861e+00   2.094397018081e+05   3.695978795112e-02   1.743734022274e+00   6.191004555928e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.861908456450e-03   4.278017690777e-03  -4.695463832074e-02   1.956390107798e-01  -6.262515893401e-02   1.038509569606e-02   1.019320521068e+01
