# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              wing_left              9.996145181204e-01  -2.429616513409e+00  -5.318844922550e+00  -7.823214373871e-01   2.344649993129e-01   1.658490361736e-01   0.000000000000e+00   1.304623785792e+00  -7.850954066372e-01  -7.850528200262e-01   1.991526639107e-03   4.197711696891e-02   0.000000000000e+00  -4.990619648967e+01   2.599829247826e-01  -4.230824354807e+00   3.427392043820e+04   2.910370671265e-02   1.081229558551e+00   2.637500045768e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.707357081157e-05   5.422225484560e-04  -1.680779715811e-04   1.318172989229e-03  -4.217220357525e-04  -1.226581182251e-03   7.105309478754e-01
Horizon              wing_left              9.965342284775e-01  -2.412693023728e+00  -5.314094667996e+00  -7.660258069401e-01   2.556256639150e-01   1.811795562654e-01   0.000000000000e+00   1.269679008272e+00  -7.826761528089e-01  -7.830446034587e-01   6.500404248663e-03   1.020374573708e-01   0.000000000000e+00  -4.992343552902e+01   2.018105952609e+00  -4.761274719934e+00   3.776110034235e+04   2.935167717907e-02   1.099732713058e+00   6.411202529343e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.325807635732e-04   4.248651733754e-03  -1.686385564011e-03   1.221618940665e-02  -4.323496133393e-03  -8.483326735894e-03   1.902588729587e+00
Horizon              wing_left              9.903926402016e-01  -2.379193803020e+00  -5.302939289493e+00  -7.340795012009e-01   2.978165305853e-01   2.119477903820e-01   0.000000000000e+00   1.200004899407e+00  -7.778525606567e-01  -7.789204475221e-01   1.257026309470e-02   1.289299659611e-01   0.000000000000e+00  -4.994192494763e+01   2.582296317589e+00  -5.125156961507e+00   4.464692896591e+04   2.966608051055e-02   1.123418681357e+00   8.100908677818e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.051541088725e-03   1.017621232717e-02  -5.119451113414e-03   3.461828731921e-02  -1.295208112180e-02  -1.863492275311e-02   2.842593761994e+00
Horizon              wing_left              9.812276182268e-01  -2.329800530579e+00  -5.282226123079e+00  -6.880409469515e-01   3.607774786009e-01   2.583144703561e-01   0.000000000000e+00   1.096031023247e+00  -7.706543692302e-01  -7.727495637362e-01   2.118721274276e-02   1.360848103822e-01   0.000000000000e+00  -4.994061672467e+01   2.384928927575e+00  -5.333116679915e+00   5.507183093129e+04   3.002467070611e-02   1.150741578997e+00   8.550460811235e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.035561727955e-03   1.741789869746e-02  -1.127234996385e-02   7.152732896126e-02  -2.766287674554e-02  -2.982793229237e-02   3.701742948420e+00
Horizon              wing_left              9.690956679612e-01  -2.265502185213e+00  -5.247675028978e+00  -6.308663661386e-01   4.441203327806e-01   3.205189845564e-01   0.000000000000e+00   9.583984133119e-01  -7.611259577732e-01  -7.645498765237e-01   3.325703296421e-02   1.345328814132e-01   0.000000000000e+00  -4.993089882005e+01   1.831265079757e+00  -5.367768195610e+00   6.938627000691e+04   3.048718011609e-02   1.186467407495e+00   8.452950238282e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.249286403802e-03   2.517577232421e-02  -2.163585939634e-02   1.294205070856e-01  -5.106595224747e-02  -3.998456809169e-02   4.612352959245e+00
Horizon              wing_left              9.540715869125e-01  -2.187557610298e+00  -5.194552854493e+00  -5.674919053149e-01   5.473312567141e-01   3.988515253800e-01   0.000000000000e+00   7.879556204108e-01  -7.493260721108e-01  -7.543445875225e-01   4.957597785131e-02   1.289358522372e-01   0.000000000000e+00  -4.991960563948e+01   1.162178873735e+00  -5.198018958630e+00   8.805707969036e+04   3.109213137788e-02   1.234020253601e+00   8.101278523457e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.680341268874e-03   3.161716736578e-02  -3.787904353708e-02   2.147071802800e-01  -8.551864574452e-02  -4.485209498884e-02   5.612660776152e+00
Horizon              wing_left              9.362480035364e-01  -2.097449896008e+00  -5.118732941468e+00  -5.053148974056e-01   6.697739207343e-01   4.936295047807e-01   0.000000000000e+00   5.857534810395e-01  -7.353274624620e-01  -7.421618199913e-01   7.080442789674e-02   1.207780318339e-01   0.000000000000e+00  -4.990493283327e+01   5.507689343468e-01  -4.818196074592e+00   1.116451596510e+05   3.185196735644e-02   1.295071730249e+00   7.588707550485e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.238094186824e-03   3.324580912303e-02  -6.081133021630e-02   3.280765618189e-01  -1.307009201623e-01  -3.780028068172e-02   6.670113579018e+00
Horizon              wing_left              9.157348061513e-01  -1.996835555556e+00  -5.018143531998e+00  -4.542953096154e-01   8.106934251011e-01   6.066457820636e-01   0.000000000000e+00   3.530386386262e-01  -7.192164349103e-01  -7.252934375522e-01   9.744408037442e-02   1.101367226572e-01   0.000000000000e+00  -4.988327101810e+01   1.470907056572e-01  -4.294954639593e+00   1.412564816254e+05   3.279220915799e-02   1.372658962951e+00   6.920094375806e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.715483376881e-03   2.513035846537e-02  -8.874997250278e-02   4.567767044596e-01  -1.807242085577e-01  -1.146379030358e-02   7.689953722683e+00
Horizon              wing_left              8.926584654404e-01  -1.887491495422e+00  -4.894695422655e+00  -4.247195943009e-01   9.041739004800e-01   6.898683107822e-01   0.000000000000e+00   1.731092146415e-01  -7.010923192981e-01  -7.028827563046e-01   1.211067551591e-01   1.040693210910e-01   0.000000000000e+00  -4.985914142194e+01   3.284241431096e-02  -4.012423459021e+00   1.654095696283e+05   3.376695574221e-02   1.455476228282e+00   6.538868292071e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.198262225500e-03   1.262417455745e-02  -1.141960347520e-01   5.643165428824e-01  -2.194507266060e-01   2.119466989762e-02   8.478135281150e+00
Horizon              wing_left              8.671612547178e-01  -1.771262523235e+00  -4.756227166102e+00  -4.008597693765e-01   9.267224682061e-01   7.199958230249e-01   0.000000000000e+00   1.681646560061e-01  -6.810668568248e-01  -6.810260680072e-01   1.360980319506e-01   1.032616846760e-01   0.000000000000e+00  -4.985329418949e+01   2.508746813901e-02  -4.024357218486e+00   1.764205779903e+05   3.450775743542e-02   1.520039146205e+00   6.488122999508e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.074989181694e-02   1.375256775582e-02  -1.330827441683e-01   6.384846142918e-01  -2.400336763892e-01   2.676951962828e-02   8.997880330085e+00
