# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              wing_left              9.993844170298e-01  -2.428349477840e+00  -5.318509782108e+00  -7.810984960630e-01   2.375788279284e-01   1.680922542587e-01   0.000000000000e+00   1.302013371723e+00  -7.849146856632e-01  -7.848107424848e-01   3.203938734440e-03   5.222923740384e-02   0.000000000000e+00  -4.990590212680e+01   5.731647537188e-01  -4.314121722208e+00   3.476878724950e+04   2.912992148312e-02   1.083178241604e+00   3.281659770610e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.274447832864e-05   1.082720328678e-03  -3.506216835772e-04   2.710496074312e-03  -8.848196299717e-04  -2.401886418670e-03   8.966978039134e-01
Horizon              wing_left              9.945503262094e-01  -2.401836494581e+00  -5.310734917319e+00  -7.556222788641e-01   2.704040320202e-01   1.918574359546e-01   0.000000000000e+00   1.247172350972e+00  -7.811179996112e-01  -7.819775795362e-01   1.058288200894e-02   1.157138549290e-01   0.000000000000e+00  -4.993229589562e+01   2.359893366206e+00  -4.919217138114e+00   4.013538163606e+04   2.946091518082e-02   1.107933685820e+00   7.270515931272e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.030510255661e-04   7.785036296092e-03  -3.401577091977e-03   2.394742110341e-02  -8.701273016736e-03  -1.496466665746e-02   2.292958779637e+00
Horizon              wing_left              9.853553390593e-01  -2.351958143883e+00  -5.292147000770e+00  -7.085080509937e-01   3.328412805207e-01   2.375353705994e-01   0.000000000000e+00   1.142858530681e+00  -7.738962735911e-01  -7.760876200559e-01   2.028926023133e-02   1.348785104447e-01   0.000000000000e+00  -4.994195697442e+01   2.534674853697e+00  -5.271117714300e+00   5.034715330783e+04   2.984998414917e-02   1.137390271221e+00   8.474666750807e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.888203195892e-03   1.681641046931e-02  -9.803694932095e-03   6.379715693768e-02  -2.439568730188e-02  -2.955884467419e-02   3.353979470706e+00
Horizon              wing_left              9.726995249870e-01  -2.284474462280e+00  -5.258755836864e+00  -6.473460556354e-01   4.187787805207e-01   3.013809197585e-01   0.000000000000e+00   9.992828743776e-01  -7.639564204623e-01  -7.674749333915e-01   3.216692734288e-02   1.359740199501e-01   0.000000000000e+00  -4.993249153004e+01   2.017022858326e+00  -5.387435135633e+00   6.491440805909e+04   3.033352070183e-02   1.174537642381e+00   8.543499643085e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.168114336942e-03   2.519095791548e-02  -1.993176746513e-02   1.211235657405e-01  -4.758448008201e-02  -4.088776027704e-02   4.361910252457e+00
Horizon              wing_left              9.578217232520e-01  -2.206840963010e+00  -5.208812583645e+00  -5.824479618109e-01   5.198043707585e-01   3.779875849433e-01   0.000000000000e+00   8.304995676504e-01  -7.522714223043e-01  -7.566020074954e-01   4.425923266014e-02   1.311235051320e-01   0.000000000000e+00  -4.992086561527e+01   1.335687591416e+00  -5.271307802769e+00   8.306717358809e+04   3.094919596735e-02   1.222700363420e+00   8.238732808713e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.262956575886e-03   2.990175625607e-02  -3.279472268057e-02   1.882377811616e-01  -7.485568775095e-02  -4.378347871582e-02   5.385262674131e+00
Horizon              wing_left              9.421782767480e-01  -2.127149898618e+00  -5.145337273205e+00  -5.242835560747e-01   6.260289625749e-01   4.604825249856e-01   0.000000000000e+00   6.530302965448e-01  -7.399850881508e-01  -7.443018395448e-01   5.330382556453e-02   1.241591116776e-01   0.000000000000e+00  -4.990937760088e+01   7.417071221219e-01  -4.972334951891e+00   1.035115168361e+05   3.165723586511e-02   1.279284928560e+00   7.801147062452e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.868047376558e-03   2.858591685981e-02  -4.459853141712e-02   2.444616121756e-01  -9.741999877215e-02  -3.575878453591e-02   6.356129642979e+00
Horizon              wing_left              9.273004750130e-01  -2.053161928519e+00  -5.076333294892e+00  -4.801865935830e-01   7.270545528126e-01   5.409156882979e-01   0.000000000000e+00   4.842469898176e-01  -7.283000899928e-01  -7.317858904116e-01   5.584597898097e-02   1.167172472609e-01   0.000000000000e+00  -4.989482308369e+01   3.398195244493e-01  -4.597181963674e+00   1.243434063351e+05   3.237357461881e-02   1.337835177442e+00   7.333560930844e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.761536824210e-03   2.172860907933e-02  -5.007246475451e-02   2.646183067677e-01  -1.050933044489e-01  -2.044120500575e-02   7.177777600821e+00
Horizon              wing_left              9.146446609407e-01  -1.991579408301e+00  -5.012493807699e+00  -4.522531122693e-01   8.129920528126e-01   6.109334548836e-01   0.000000000000e+00   3.406713335138e-01  -7.183602368641e-01  -7.205196025383e-01   4.955817769873e-02   1.099532692621e-01   0.000000000000e+00  -4.987577222594e+01   1.267216136620e-01  -4.256167085382e+00   1.431690264739e+05   3.300294053728e-02   1.390357786052e+00   6.908567659041e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.930865946333e-03   1.279145452817e-02  -4.568289189090e-02   2.347701878418e-01  -9.275885315972e-02  -5.771756225641e-03   7.783822842458e+00
Horizon              wing_left              9.054496737906e-01  -1.947605400906e+00  -4.963938820017e+00  -4.378422038788e-01   8.754293013131e-01   6.627598731939e-01   0.000000000000e+00   2.363575132229e-01  -7.111385108439e-01  -7.119820584833e-01   3.426193364703e-02   1.048004268942e-01   0.000000000000e+00  -4.985597777532e+01   4.074053644053e-02  -4.014692598661e+00   1.574897633998e+05   3.346521328992e-02   1.429580100007e+00   6.584805024479e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.554454285936e-03   5.566103203501e-03  -3.166569966520e-02   1.596236707247e-01  -6.279073558567e-02   1.839582132779e-03   8.158612681626e+00
Horizon              wing_left              9.006155829702e-01  -1.924743095272e+00  -4.937881923401e+00  -4.323173234298e-01   9.082545054049e-01   6.903114301482e-01   0.000000000000e+00   1.815164924719e-01  -7.073418247920e-01  -7.074188245909e-01   1.224853163882e-02   1.021356844242e-01   0.000000000000e+00  -4.984535287104e+01   1.718858884598e-02  -3.901372965817e+00   1.651527834491e+05   3.369289325620e-02   1.449098515605e+00   6.417374317128e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   8.827270794715e-04   1.380266545882e-03  -1.127195946561e-02   5.625631802529e-02  -2.207724435994e-02   1.702143585197e-03   8.332285731749e+00
Horizon              wing_left              8.985939033716e-01  -1.915233764424e+00  -4.926912087520e+00  -4.303720901637e-01   9.174879549553e-01   6.983096049763e-01   0.000000000000e+00   1.742602472465e-01  -7.057540013482e-01  -7.057730235578e-01   2.735489128233e-02   1.012971700241e-01   0.000000000000e+00  -4.984405206584e+01   1.116803563946e-02  -3.872240644172e+00   1.673686823201e+05   3.375387628594e-02   1.454348904224e+00   6.364688903545e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.950399809680e-03   2.727792842277e-03  -2.509796639873e-02   1.248294399291e-01  -4.890787030798e-02   4.385087443924e-03   8.370331268370e+00
Horizon              wing_left              8.885969336098e-01  -1.868658482181e+00  -4.872646298822e+00  -4.208730465477e-01   9.202920085688e-01   7.051256661556e-01   0.000000000000e+00   1.723215801624e-01  -6.979023996578e-01  -6.978931639809e-01   6.624238459662e-02   1.026137833596e-01   0.000000000000e+00  -4.984683847996e+01   1.921618080374e-02  -3.944464392451e+00   1.702817828321e+05   3.400941318474e-02   1.476452829278e+00   6.447414159189e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.949049246700e-03   6.663330142047e-03  -6.250947914367e-02   3.073909982477e-01  -1.188917898525e-01   1.166347810511e-02   8.630893064687e+00
Horizon              wing_left              8.744590833902e-01  -1.804046698081e+00  -4.795871669467e+00  -4.076190021963e-01   9.242575392188e-01   7.147151269912e-01   0.000000000000e+00   1.695798908792e-01  -6.867985580608e-01  -6.867894235077e-01   6.652782248372e-02   1.034444616523e-01   0.000000000000e+00  -4.985178697246e+01   2.496130261656e-02  -4.012370577638e+00   1.742843119686e+05   3.434177948081e-02   1.505451919540e+00   6.499607215629e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.197830581682e-03   6.729578158575e-03  -6.453869572349e-02   3.122624063388e-01  -1.185495554337e-01   1.278765517292e-02   8.905501382654e+00
Horizon              wing_left              8.644621136284e-01  -1.759234056399e+00  -4.741562016387e+00  -3.983740449242e-01   9.270615928323e-01   7.214724916560e-01   0.000000000000e+00   1.676412237952e-01  -6.789469563704e-01  -6.789448303871e-01   2.764032916943e-02   1.036219862352e-01   0.000000000000e+00  -4.985422656253e+01   2.725294630182e-02  -4.044641351195e+00   1.771139601617e+05   3.457247647118e-02   1.525746136540e+00   6.510761414139e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.210229183896e-03   2.801526479576e-03  -2.722439570712e-02   1.302022160396e-01  -4.877458203306e-02   5.551397953094e-03   9.065767600453e+00
Horizon              wing_left              8.625103667750e-01  -1.750568726252e+00  -4.730956848314e+00  -3.965814018219e-01   9.282125143872e-01   7.232601709750e-01   0.000000000000e+00   1.672627303645e-01  -6.774140579764e-01  -6.774130898729e-01   1.110752872017e-02   1.034295892742e-01   0.000000000000e+00  -4.985464704429e+01   2.630431317557e-02  -4.042211129729e+00   1.777787486292e+05   3.461646915102e-02   1.529631560643e+00   6.498672756553e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   8.882764630285e-04   1.123331574883e-03  -1.094825570862e-02   5.224121773244e-02  -1.951794797542e-02   2.235928491759e-03   9.082515139799e+00
