# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              winglet_left           9.999845788224e-01  -2.431731670711e+00  -5.319397016803e+00  -7.843639348292e-01   2.291878704589e-01   1.620604937618e-01   0.000000000000e+00   1.308979444225e+00  -7.853969522210e-01  -7.853969515356e-01   7.790656334688e-06   3.116073826231e-03   0.000000000000e+00  -5.012094103498e+01  -1.212838481523e+00  -4.909682480518e+00   3.284459840394e+04   2.854199141830e-02   1.039895842508e+00   1.957886928106e-02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.498087275781e-10   1.531201489198e-07  -4.139631275981e-08   3.403053451096e-07  -1.009391021387e-07  -3.704863440504e-07   5.055433109502e-02
Horizon              winglet_left           9.998612151090e-01  -2.431663688739e+00  -5.319379415817e+00  -7.842982700307e-01   2.292726803960e-01   1.621220332149e-01   0.000000000000e+00   1.308839492531e+00  -7.853872632576e-01  -7.853872691663e-01   2.337869475652e-05   9.331467894720e-03   0.000000000000e+00  -5.012104959338e+01  -1.022057605596e+00  -4.960241881410e+00   3.285923763410e+04   2.854387392077e-02   1.040033020816e+00   5.863134197052e-02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.409348504618e-09   1.374460986774e-06  -3.782849250158e-07   3.090228417595e-06  -9.272414519128e-07  -3.292174978376e-06   1.514586504119e-01
Horizon              winglet_left           9.996145181204e-01  -2.431527745520e+00  -5.319344190625e+00  -7.841669640272e-01   2.294422793447e-01   1.622451006714e-01   0.000000000000e+00   1.308559623675e+00  -7.853678877214e-01  -7.853679049881e-01   3.898690024176e-05   1.550471862340e-02   0.000000000000e+00  -5.012126815614e+01  -8.330920921810e-01  -5.009837403979e+00   3.288849613688e+04   2.854761933276e-02   1.040305976598e+00   9.741902024650e-02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.332570235906e-08   3.804362022265e-06  -1.066087106598e-06   8.654139274242e-06  -2.626194963317e-06  -9.019947487990e-06   2.518804717236e-01
Horizon              winglet_left           9.992445487253e-01  -2.431323882493e+00  -5.319291294823e+00  -7.839700640115e-01   2.296966254590e-01   1.624296724925e-01   0.000000000000e+00   1.308139906710e+00  -7.853388303931e-01  -7.853388646784e-01   5.462868353032e-05   2.161552589931e-02   0.000000000000e+00  -5.012159978713e+01  -6.465580705811e-01  -5.058389241566e+00   3.293234009889e+04   2.855319400196e-02   1.040712310159e+00   1.358143547375e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.180307606242e-07   7.424180277479e-06  -2.118471653857e-06   1.708910291406e-05  -5.243223309368e-06  -1.742274681906e-05   3.516211197333e-01
Horizon              winglet_left           9.987513982081e-01  -2.431052161796e+00  -5.319220658904e+00  -7.837076407883e-01   2.300356559827e-01   1.626757134384e-01   0.000000000000e+00   1.307580445195e+00  -7.853000984420e-01  -7.853001553936e-01   7.031740444677e-05   2.764649185317e-02   0.000000000000e+00  -5.012204892580e+01  -4.629831310177e-01  -5.105839717060e+00   3.299072502792e+04   2.856055304834e-02   1.041248827167e+00   1.737080314069e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.486523947387e-07   1.221105200289e-05  -3.548187876599e-06   2.844348901160e-05  -8.820700589520e-06  -2.836306741444e-05   4.505244932605e-01
Horizon              winglet_left           9.981351882465e-01  -2.430712666232e+00  -5.319132190366e+00  -7.833797887922e-01   2.304592872651e-01   1.629831765197e-01   0.000000000000e+00   1.306881377169e+00  -7.852517014248e-01  -7.852517866681e-01   8.606635161091e-05   3.358242227352e-02   0.000000000000e+00  -5.012262133577e+01  -2.828281345425e-01  -5.152146849933e+00   3.306359782826e+04   2.856964242223e-02   1.041911685893e+00   2.110045822085e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.493352405656e-07   1.813881627195e-05  -5.367088417725e-06   4.275783483132e-05  -1.339784994360e-05  -4.170017692034e-05   5.484646077301e-01
Horizon              winglet_left           9.973960708809e-01  -2.430305499239e+00  -5.319025773869e+00  -7.829866261120e-01   2.309674147817e-01   1.633520029946e-01   0.000000000000e+00   1.306042875116e+00  -7.851936512827e-01  -7.851937704143e-01   1.018887222243e-04   3.940996564747e-02   0.000000000000e+00  -5.012332392319e+01  -1.064985877256e-01  -5.197280943885e+00   3.315089832025e+04   2.858040049488e-02   1.042696509997e+00   2.476201171126e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.331069042026e-07   2.517870290557e-05  -7.586130431580e-06   6.006541092742e-05  -1.901062740731e-05  -5.729252561666e-05   6.453388372405e-01
Horizon              winglet_left           9.965342284775e-01  -2.429830784835e+00  -5.318901271423e+00  -7.825282945201e-01   2.315599131594e-01   1.637821223645e-01   0.000000000000e+00   1.305065145923e+00  -7.851259623386e-01  -7.851261209216e-01   1.177976019555e-04   4.511738687425e-02   0.000000000000e+00  -5.012416451453e+01   6.564818797923e-02  -5.241222394913e+00   3.325256044996e+04   2.859275941085e-02   1.043598483698e+00   2.834809023066e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.111781477001e-06   3.329987650045e-05  -1.021537287889e-05   8.039265535922e-05  -2.569162796278e-05  -7.499960914046e-05   7.410635291787e-01
Horizon              winglet_left           9.955498736830e-01  -2.429288667569e+00  -5.318758522613e+00  -7.820049595073e-01   2.322366362082e-01   1.642734523701e-01   0.000000000000e+00   1.303948430832e+00  -7.850486512938e-01  -7.850488548524e-01   1.338059449445e-04   5.069440715715e-02   0.000000000000e+00  -5.012515155524e+01   2.332979680221e-01  -5.283960160269e+00   3.336851321635e+04   2.860664621762e-02   1.044612430589e+00   3.185223542060e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.595894643743e-06   4.246987931875e-05  -1.326397667863e-05   1.037595452601e-04  -3.347002575855e-05  -9.468341830448e-05   8.355708551785e-01
Horizon              winglet_left           9.944432493723e-01  -2.428679312451e+00  -5.318597344869e+00  -7.814168103225e-01   2.329974169568e-01   1.648258989862e-01   0.000000000000e+00   1.302693005375e+00  -7.849617372237e-01  -7.849619912383e-01   1.499265539482e-04   5.613208068032e-02   0.000000000000e+00  -5.012629374141e+01   3.961757151528e-01  -5.325490599370e+00   3.349868138784e+04   2.862198382853e-02   1.045732880291e+00   3.526882645920e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.194665844044e-06   5.265499736334e-05  -1.674021047686e-05   1.301799390820e-04  -4.237155165481e-05  -1.162095588625e-04   9.288064027098e-01
