# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   
V0                   main_wing_left         9.996145181204e-01  -1.763543340437e+00  -3.873827902225e+00  -5.574414996506e-01   9.046253399439e-02   0.000000000000e+00   1.217693719592e+00  -7.850954066372e-01  -7.850591987844e-01   7.884843754297e-04   9.967149831292e+00   0.000000000000e+00  -6.493705819568e+01  -1.189892199456e+00  -1.976373611388e+01   1.900509719390e+04   2.958685607331e-02   1.117426425601e+00   1.036770618924e+00   1.342792275887e-02   2.061734892232e-02   0.000000000000e+00   4.053917923589e-05   8.067710712565e-04  -4.453351571901e-04   6.184092265848e-04   1.200552541510e-03   2.231387571074e-03
V0                   main_wing_left         9.965342284775e-01  -1.751259382307e+00  -3.869381409406e+00  -5.459512216996e-01   9.883060169975e-02   0.000000000000e+00   1.185437001882e+00  -7.826761528089e-01  -7.829898120980e-01   2.573637270726e-03   2.151343977191e+01   0.000000000000e+00  -6.557485226404e+01   5.377177842424e+00  -2.195228605506e+01   2.267477154109e+04   3.231089243740e-02   1.332659521411e+00   1.116274438683e+00   2.892353990237e-02   2.684926516760e-02   0.000000000000e+00   1.654255146849e-03   5.794491933383e-03  -4.597832294009e-03   9.778162381134e-03   1.416746935612e-02   2.137352592992e-02
V0                   main_wing_left         9.903926402016e-01  -1.726943887551e+00  -3.859421675389e+00  -5.234990190180e-01   1.156260114371e-01   0.000000000000e+00   1.121122439853e+00  -7.778525606567e-01  -7.787616035706e-01   4.976813189733e-03   2.483638827659e+01   0.000000000000e+00  -6.613075073087e+01   6.747644608417e+00  -2.293999209471e+01   2.806577339036e+04   3.418369008875e-02   1.491623388494e+00   1.236300000000e+00   3.325142573757e-02   2.684926516760e-02   0.000000000000e+00   4.874785094676e-03   1.266577624865e-02  -1.240172028372e-02   3.007230994449e-02   3.919827759308e-02   5.185489219470e-02
V0                   main_wing_left         9.812276182268e-01  -1.691091654825e+00  -3.841927881231e+00  -4.912981202255e-01   1.409416193665e-01   0.000000000000e+00   1.025146554166e+00  -7.706543692302e-01  -7.724378402181e-01   8.388432210010e-03   2.684989770824e+01   0.000000000000e+00  -6.626387364798e+01   6.777612036648e+00  -2.378761229336e+01   3.592484075434e+04   3.589657949260e-02   1.644854300350e+00   1.236300000000e+00   3.572492888739e-02   2.684926516760e-02   0.000000000000e+00   9.250960164626e-03   1.907466416349e-02  -2.376602648292e-02   6.392329228055e-02   7.614862011024e-02   8.600217420667e-02
V0                   main_wing_left         9.690956679612e-01  -1.644420536915e+00  -3.814179476621e+00  -4.515261739838e-01   1.749139615174e-01   0.000000000000e+00   8.981010680725e-01  -7.611259577732e-01  -7.640403118727e-01   1.316711027134e-02   2.752168026122e+01   0.000000000000e+00  -6.626813738681e+01   5.715408465532e+00  -2.412836424096e+01   4.680472012986e+04   3.768449065387e-02   1.812786251834e+00   1.236300000000e+00   3.632283192806e-02   2.684926516760e-02   0.000000000000e+00   1.479295780242e-02   2.432549008444e-02  -4.018163229040e-02   1.174236326707e-01   1.300136175233e-01   1.219440776568e-01
V0                   main_wing_left         9.540715869125e-01  -1.587844268497e+00  -3.773197976212e+00  -4.076554423022e-01   2.177080760241e-01   0.000000000000e+00   7.407692592407e-01  -7.493260721108e-01  -7.535974028554e-01   1.962809995348e-02   2.730393618321e+01   0.000000000000e+00  -6.629288945157e+01   4.167892930175e+00  -2.393125369631e+01   6.151462769925e+04   3.979250990636e-02   2.021268303148e+00   1.236300000000e+00   3.568038618263e-02   2.684926516760e-02   0.000000000000e+00   2.197320193037e-02   2.675688792958e-02  -6.414591351338e-02   2.015594174126e-01   2.097742166815e-01   1.565562767331e-01
V0                   main_wing_left         9.362480035364e-01  -1.522439354355e+00  -3.716414176302e+00  -3.647166145264e-01   2.695037047665e-01   0.000000000000e+00   5.541211305903e-01  -7.353274624620e-01  -7.411437327814e-01   2.803285881873e-02   2.621632204119e+01   0.000000000000e+00  -6.638835603921e+01   2.501072369131e+00  -2.309991473372e+01   8.082981331827e+04   4.223809367893e-02   2.277350714489e+00   1.236300000000e+00   3.386599441202e-02   2.684926516760e-02   0.000000000000e+00   3.089655349138e-02   2.283359096410e-02  -9.793469044983e-02   3.287028249652e-01   3.240786823136e-01   1.792748768723e-01
V0                   main_wing_left         9.157348061513e-01  -1.449408178827e+00  -3.642555311163e+00  -3.293375492589e-01   3.311628969102e-01   0.000000000000e+00   3.393074299011e-01  -7.192164349103e-01  -7.243888928677e-01   3.858001863727e-02   2.418782325003e+01   0.000000000000e+00  -6.657975907226e+01   1.127182425282e+00  -2.157463206332e+01   1.053577413234e+05   4.480456358905e-02   2.562511378397e+00   1.236300000000e+00   3.077799605897e-02   2.684926516760e-02   0.000000000000e+00   4.063427607403e-02   6.729821361806e-03  -1.419096030146e-01   5.069522001335e-01   4.750989808905e-01   1.677293241449e-01
V0                   main_wing_left         8.926584654404e-01  -1.370040514012e+00  -3.552827151302e+00  -3.082838003236e-01   3.833011177895e-01   0.000000000000e+00   1.731092146415e-01  -7.010923192981e-01  -7.026142222641e-01   4.883058026620e-02   2.253851190901e+01   0.000000000000e+00  -6.678603041212e+01   5.824502012379e-01  -2.050026972767e+01   1.279914409354e+05   4.702602989424e-02   2.822915839991e+00   1.236300000000e+00   2.814376788794e-02   2.684926516760e-02   0.000000000000e+00   5.052783910302e-02  -1.539365455942e-02  -1.873815935648e-01   6.918689639953e-01   6.384389880271e-01   1.341914694357e-01
V0                   main_wing_left         8.671612547178e-01  -1.285675418230e+00  -3.452319614266e+00  -2.909650855728e-01   4.163114209691e-01   0.000000000000e+00   1.681646560061e-01  -6.810668568248e-01  -6.810242454697e-01   5.711996842567e-02   2.183702195237e+01   0.000000000000e+00  -6.693331383895e+01   5.024992521171e-01  -2.030487636963e+01   1.430815138752e+05   4.840192943178e-02   2.990519562791e+00   1.236300000000e+00   2.678443534089e-02   2.684926516760e-02   0.000000000000e+00   6.073619130066e-02  -1.772674657921e-02  -2.271216032774e-01   8.146041488479e-01   7.933451339805e-01   1.559611754191e-01
V0                   main_wing_left         8.394003727665e-01  -1.197665183570e+00  -3.342793009731e+00  -2.726741537909e-01   4.473025428700e-01   0.000000000000e+00   1.627811138583e-01  -6.592635111259e-01  -6.592021358468e-01   6.525366827543e-02   2.133773506841e+01   0.000000000000e+00  -6.702164180168e+01   5.025340362229e-01  -2.021530223765e+01   1.566122483034e+05   4.930850442123e-02   3.103594400914e+00   1.236300000000e+00   2.572330712848e-02   2.684926516760e-02   0.000000000000e+00   7.153065717493e-02  -1.910188012425e-02  -2.680779828820e-01   9.295126414771e-01   9.611462851380e-01   1.795804667063e-01
V0                   main_wing_left         8.095469746549e-01  -1.107342578362e+00  -3.224902658334e+00  -2.536628076822e-01   4.812810255178e-01   0.000000000000e+00   1.569917795254e-01  -6.358167070779e-01  -6.357499793054e-01   7.376622582777e-02   2.074248913599e+01   0.000000000000e+00  -6.709735469809e+01   5.027523849330e-01  -2.002018501118e+01   1.715947977680e+05   5.021146007462e-02   3.218303517024e+00   1.236300000000e+00   2.456611588899e-02   2.684926516760e-02   0.000000000000e+00   8.246818520440e-02  -1.978083068319e-02  -3.116710806803e-01   1.040279634020e+00   1.146126602167e+00   2.025703276679e-01
V0                   main_wing_left         7.777851165098e-01  -1.015992200101e+00  -3.099357264380e+00  -2.341858173747e-01   5.181263725319e-01   0.000000000000e+00   1.508323461789e-01  -6.108710020247e-01  -6.108001877937e-01   8.258592337940e-02   2.009956207181e+01   0.000000000000e+00  -6.717421725309e+01   5.025157772461e-01  -1.976528665057e+01   1.881210088716e+05   5.113274097493e-02   3.337485956450e+00   1.236300000000e+00   2.338149658973e-02   2.684926516760e-02   0.000000000000e+00   9.356189157961e-02  -1.982263652996e-02  -3.579296188565e-01   1.145275970986e+00   1.348975211373e+00   2.247240780348e-01
V0                   main_wing_left         7.443106207485e-01  -9.248263568299e-01  -2.966915138029e+00  -2.144959704616e-01   5.576713811907e-01   0.000000000000e+00   1.443407887736e-01  -5.845801945331e-01  -5.845066739133e-01   9.162038827995e-02   1.943581815586e+01   0.000000000000e+00  -6.725454420369e+01   5.009293917796e-01  -1.947141668784e+01   2.061786127455e+05   5.206702076283e-02   3.460562969418e+00   1.236300000000e+00   2.220827931462e-02   2.684926516760e-02   0.000000000000e+00   1.046722112026e-01  -1.925541737626e-02  -4.064470032473e-01   1.241537670335e+00   1.568446757577e+00   2.454941036756e-01
V0                   main_wing_left         7.093298687687e-01  -8.349655634159e-01  -2.828379994071e+00  -1.948392425137e-01   5.997043087998e-01   0.000000000000e+00   1.375571299195e-01  -5.571063761739e-01  -5.570315765868e-01   1.007580980347e-01   1.876844068755e+01   0.000000000000e+00  -6.733812575125e+01   4.974471431965e-01  -1.915075705698e+01   2.257137907198e+05   5.300519032588e-02   3.586394798627e+00   1.236300000000e+00   2.107067375805e-02   2.684926516760e-02   0.000000000000e+00   1.155947375966e-01  -1.812028797374e-02  -4.565686136059e-01   1.325701625689e+00   1.801953423618e+00   2.641995800848e-01
V0                   main_wing_left         6.730585285387e-01  -7.474234890585e-01  -2.684596336591e+00  -1.754501990541e-01   6.439686291551e-01   0.000000000000e+00   1.305231931292e-01  -5.286189321733e-01  -5.285442656345e-01   1.098704424010e-01   1.811006015438e+01   0.000000000000e+00  -6.742415105057e+01   4.919251533035e-01  -1.881233582095e+01   2.466354916235e+05   5.393719220771e-02   3.713624334846e+00   1.236300000000e+00   1.998510335661e-02   2.684926516760e-02   0.000000000000e+00   1.260989609244e-01  -1.648627298171e-02  -5.074591295284e-01   1.394445866899e+00   2.045770149981e+00   2.801221562613e-01
V0                   main_wing_left         6.357202249325e-01  -6.630960253810e-01  -2.536444448181e+00  -1.565477346679e-01   6.901646511134e-01   0.000000000000e+00   1.232823449621e-01  -4.992934970966e-01  -4.992203039824e-01   1.188142959198e-01   1.747056451055e+01   0.000000000000e+00  -6.751167863611e+01   4.845206418593e-01  -1.846381550149e+01   2.688161267337e+05   5.485296154382e-02   3.840797941293e+00   1.236300000000e+00   1.896287346887e-02   2.684926516760e-02   0.000000000000e+00   1.359518737323e-01  -1.445174379927e-02  -5.581487654102e-01   1.444802942485e+00   2.295201073322e+00   2.925745488305e-01
