# alpha                     Rey                       Mach                      CL                        CD                        Cm                       
        -2.0943951024E-01          4.7145860000E+06          0.0000000000E+00         -1.3351000000E+00          1.2290000000E-02         -3.3000000000E-03
        -2.0943951024E-01          4.7145860000E+06          4.7368421053E-02         -1.3377000000E+00          1.2340000000E-02         -3.6000000000E-03
        -2.0943951024E-01          4.7145860000E+06          9.4736842105E-02         -1.3456000000E+00          1.2520000000E-02         -4.6000000000E-03
        -2.0943951024E-01          4.7145860000E+06          1.4210526316E-01         -1.3588000000E+00          1.2840000000E-02         -6.3000000000E-03
        -2.0943951024E-01          4.7145860000E+06          1.8947368421E-01         -1.3775000000E+00          1.3390000000E-02         -8.9000000000E-03
        -2.0943951024E-01          4.7145860000E+06          2.3684210526E-01         -1.4019000000E+00          1.4250000000E-02         -1.2600000000E-02
        -2.0943951024E-01          4.7145860000E+06          2.8421052632E-01         -1.4331000000E+00          1.5430000000E-02         -1.7800000000E-02
        -2.0943951024E-01          4.7145860000E+06          3.3157894737E-01         -1.4637000000E+00          1.7970000000E-02         -2.5500000000E-02
        -2.0943951024E-01          4.7145860000E+06          3.7894736842E-01         -1.4028000000E+00          2.8860000000E-02         -3.8100000000E-02
        -2.0943951024E-01          4.7145860000E+06          4.2631578947E-01         -1.1906000000E+00          6.1560000000E-02         -1.5300000000E-02
        -2.0943951024E-01          1.2714586000E+07          0.0000000000E+00         -1.3507000000E+00          1.0070000000E-02         -1.2000000000E-03
        -2.0943951024E-01          1.2714586000E+07          4.7368421053E-02         -1.3535000000E+00          1.0110000000E-02         -1.5000000000E-03
        -2.0943951024E-01          1.2714586000E+07          9.4736842105E-02         -1.3619000000E+00          1.0240000000E-02         -2.5000000000E-03
        -2.0943951024E-01          1.2714586000E+07          1.4210526316E-01         -1.3761000000E+00          1.0490000000E-02         -4.1000000000E-03
        -2.0943951024E-01          1.2714586000E+07          1.8947368421E-01         -1.3968000000E+00          1.0860000000E-02         -6.6000000000E-03
        -2.0943951024E-01          1.2714586000E+07          2.3684210526E-01         -1.4255000000E+00          1.1290000000E-02         -1.0100000000E-02
        -2.0943951024E-01          1.2714586000E+07          2.8421052632E-01         -1.4630000000E+00          1.1920000000E-02         -1.4900000000E-02
        -2.0943951024E-01          1.2714586000E+07          3.3157894737E-01         -1.5099000000E+00          1.3020000000E-02         -2.2000000000E-02
        -2.0943951024E-01          1.2714586000E+07          3.7894736842E-01         -1.5288000000E+00          1.8750000000E-02         -3.4500000000E-02
        -2.0943951024E-01          2.0714586000E+07          0.0000000000E+00         -1.3564000000E+00          9.3100000000E-03         -5.0000000000E-04
        -2.0943951024E-01          2.0714586000E+07          4.7368421053E-02         -1.3592000000E+00          9.3400000000E-03         -8.0000000000E-04
        -2.0943951024E-01          2.0714586000E+07          9.4736842105E-02         -1.3680000000E+00          9.4300000000E-03         -1.7000000000E-03
        -2.0943951024E-01          2.0714586000E+07          1.4210526316E-01         -1.3829000000E+00          9.6000000000E-03         -3.3000000000E-03
        -2.0943951024E-01          2.0714586000E+07          1.8947368421E-01         -1.4046000000E+00          9.8600000000E-03         -5.7000000000E-03
        -2.0943951024E-01          2.0714586000E+07          2.3684210526E-01         -1.4339000000E+00          1.0260000000E-02         -9.1000000000E-03
        -2.0943951024E-01          2.0714586000E+07          2.8421052632E-01         -1.4724000000E+00          1.0850000000E-02         -1.4000000000E-02
        -2.0943951024E-01          2.0714586000E+07          3.3157894737E-01         -1.5228000000E+00          1.1660000000E-02         -2.0800000000E-02
        -2.0943951024E-01          2.8714586000E+07          0.0000000000E+00         -1.3602000000E+00          8.7900000000E-03          0.0000000000E+00
        -2.0943951024E-01          2.8714586000E+07          4.7368421053E-02         -1.3631000000E+00          8.8200000000E-03         -3.0000000000E-04
        -2.0943951024E-01          2.8714586000E+07          9.4736842105E-02         -1.3719000000E+00          8.9100000000E-03         -1.2000000000E-03
        -2.0943951024E-01          2.8714586000E+07          1.4210526316E-01         -1.3869000000E+00          9.0900000000E-03         -2.8000000000E-03
        -2.0943951024E-01          2.8714586000E+07          1.8947368421E-01         -1.4085000000E+00          9.3700000000E-03         -5.2000000000E-03
        -2.0943951024E-01          2.8714586000E+07          2.3684210526E-01         -1.4382000000E+00          9.7600000000E-03         -8.6000000000E-03
        -2.0943951024E-01          2.8714586000E+07          2.8421052632E-01         -1.4781000000E+00          1.0220000000E-02         -1.3400000000E-02
        -2.0943951024E-01          3.6714586000E+07          0.0000000000E+00         -1.3627000000E+00          8.4600000000E-03          4.0000000000E-04
        -2.0943951024E-01          3.6714586000E+07          4.7368421053E-02         -1.3655000000E+00          8.5000000000E-03          1.0000000000E-04
